id,session_id,pain_idx,owner_orig_idx,impact_orig_idx,owner_correct,impact_correct,both_correct
1,1,0,1.0,1.0,1,1,1
2,1,1,1.0,1.0,1,1,1
3,1,2,0.0,0.0,0,0,0
4,1,3,0.0,0.0,0,0,0
5,1,4,0.0,0.0,1,1,1
6,1,5,1.0,1.0,0,0,0
7,2,0,0.0,0.0,0,0,0
8,2,1,0.0,0.0,0,0,0
9,2,2,1.0,1.0,1,1,1
10,2,3,1.0,1.0,1,1,1
11,2,4,0.0,0.0,1,1,1
12,2,5,1.0,1.0,0,0,0
13,3,0,1.0,1.0,1,1,1
14,3,1,0.0,0.0,0,0,0
15,3,2,0.0,0.0,0,0,0
16,3,3,1.0,1.0,1,1,1
17,3,4,1.0,1.0,0,0,0
18,3,5,1.0,1.0,0,0,0
19,4,0,0.0,0.0,0,0,0
20,4,1,1.0,1.0,1,1,1
21,4,2,1.0,1.0,1,1,1
22,4,3,0.0,0.0,0,0,0
23,4,4,0.0,0.0,1,1,1
24,4,5,1.0,1.0,0,0,0
25,5,0,1.0,1.0,1,1,1
26,5,1,1.0,1.0,1,1,1
27,5,2,1.0,1.0,1,1,1
28,5,3,1.0,1.0,1,1,1
29,5,4,1.0,1.0,0,0,0
30,5,5,1.0,1.0,0,0,0
31,6,0,1.0,1.0,1,1,1
32,6,1,1.0,1.0,1,1,1
33,6,2,1.0,1.0,1,1,1
34,6,3,1.0,1.0,1,1,1
35,6,4,1.0,1.0,0,0,0
36,6,5,1.0,1.0,0,0,0
37,7,0,1.0,1.0,1,1,1
38,7,1,1.0,1.0,1,1,1
39,7,2,1.0,1.0,1,1,1
40,7,3,1.0,1.0,1,1,1
41,7,4,1.0,1.0,0,0,0
42,7,5,1.0,1.0,0,0,0
43,8,0,,,0,0,0
44,8,1,,,0,0,0
45,8,2,,,0,0,0
46,8,3,,,0,0,0
47,8,4,,,0,0,0
48,8,5,,,0,0,0
49,9,0,,,0,0,0
50,9,1,,,0,0,0
51,9,2,,,0,0,0
52,9,3,,,0,0,0
53,9,4,,,0,0,0
54,9,5,,,0,0,0
55,10,0,,,0,0,0
56,10,1,,,0,0,0
57,10,2,,,0,0,0
58,10,3,,,0,0,0
59,10,4,,,0,0,0
60,10,5,,,0,0,0
61,11,0,,,0,0,0
62,11,1,,,0,0,0
63,11,2,,,0,0,0
64,11,3,,,0,0,0
65,11,4,,,0,0,0
66,11,5,,,0,0,0
67,12,0,1.0,1.0,1,1,1
68,12,1,1.0,1.0,1,1,1
69,12,2,1.0,1.0,1,1,1
70,12,3,1.0,1.0,1,1,1
71,12,4,1.0,1.0,0,0,0
72,12,5,1.0,1.0,0,0,0
73,13,0,1.0,1.0,1,1,1
74,13,1,1.0,1.0,1,1,1
75,13,2,1.0,1.0,1,1,1
76,13,3,1.0,1.0,1,1,1
77,13,4,0.0,0.0,1,1,1
78,13,5,0.0,0.0,1,1,1
79,14,0,1.0,1.0,0,0,0
80,14,1,1.0,1.0,0,0,0
81,14,2,1.0,1.0,0,0,0
82,14,3,1.0,1.0,0,0,0
83,14,4,0.0,0.0,0,0,0
84,14,5,0.0,0.0,0,0,0
